externalId,questionDescription,questionType,question,answerType,answer
1,Name the AWS service,text,Query Data in S3 using SQL,multiText,Amazon Athena
2,Name the AWS service,text,Managed Search Service,multiText,Amazon CloudSearch
3,Name the AWS service,text,Run and Scale Elasticsearch Clusters,multiText,Amazon Elasticsearch Service
4,Name the AWS service,text,Hosted Hadoop Framework,multiText,Amazon EMR
5,Name the AWS service,text,Work with Real-time Streaming Data,multiText,Amazon Kinesis
6,Name the AWS service,text,Fully managed Apache Kafka service,multiText,Amazon Managed Streaming for Apache Kafka
7,Name the AWS service,text,Fast Simple Cost-effective Data Warehousing,multiText,Amazon Redshift
8,Name the AWS service,text,Fast Business Analytics Service,multiText,Amazon QuickSight
9,Name the AWS service,text,Find subscribe to and use third-party data in the cloud,multiText,AWS Data Exchange
10,Name the AWS service,text,Orchestration Service for Periodic Data-driven Workflows,multiText,AWS Data Pipeline
11,Name the AWS service,text,Prepare and Load Data,multiText,AWS Glue
12,Name the AWS service,text,Build a secure data lake in days,multiText,AWS Lake Formation
13,Name the AWS service,text,Query Data in S3 using SQL,multiText,Amazon Athena
14,Name the AWS service,text,Managed Search Service,multiText,Amazon CloudSearch
15,Name the AWS service,text,Run and Scale Elasticsearch Clusters,multiText,Amazon Elasticsearch Service
16,Name the AWS service,text,Hosted Hadoop Framework,multiText,Amazon EMR
17,Name the AWS service,text,Work with Real-time Streaming Data,multiText,Amazon Kinesis
18,Name the AWS service,text,Build and Run VR and AR Applications,multiText,Amazon Sumerian
19,Name the AWS service,text,Analyze Your AWS Cost and Usage,multiText,AWS Cost Explorer
20,Name the AWS service,text,Set Custom Cost and Usage Budgets,multiText,AWS Budgets
21,Name the AWS service,text,Access Comprehensive Cost and Usage Information,multiText,AWS Cost and Usage Report
22,Name the AWS service,text,Create and manage scalable blockchain networks,multiText,Amazon Managed Blockchain
23,Name the AWS service,text,Fully managed ledger database,multiText,Amazon Quantum Ledger Database (QLDB)
24,Name the AWS service,text,Empower your Organization with Alexa,multiText,Alexa for Business
25,Name the AWS service,text,Frustration-free Meetings Video Calls and Chat,multiText,Amazon Chime
26,Name the AWS service,text,Secure enterprise document storage and sharing,multiText,Amazon WorkDocs
27,Name the AWS service,text,Secure and Managed Business Email and Calendaring,multiText,Amazon WorkMail
28,Name the AWS service,text,Virtual Servers in the Cloud,multiText,Amazon EC2
29,Name the AWS service,text,Scale Compute Capacity to Meet Demand,multiText,Amazon EC2 Auto Scaling
30,Name the AWS service,text,Store and Retrieve Docker Images,multiText,Amazon Elastic Container Registry
31,Name the AWS service,text,Run and Manage Docker Containers,multiText,Amazon Elastic Container Service
32,Name the AWS service,text,Run Managed Kubernetes on AWS,multiText,Amazon Elastic Kubernetes Service
33,Name the AWS service,text,Launch and Manage Virtual Private Servers,multiText,Amazon Lightsail
34,Name the AWS service,text,Run Batch Jobs at Any Scale,multiText,AWS Batch
35,Name the AWS service,text,Run and Manage Web Apps,multiText,AWS Elastic Beanstalk
36,Name the AWS service,text,Run Containers without Managing Servers or Clusters,multiText,AWS Fargate
37,Name the AWS service,text,Run your Code in Response to Events,multiText,AWS Lambda
38,Name the AWS service,text,Run AWS services on-premises,multiText,AWS Outposts
39,Name the AWS service,text,Discover Deploy and Publish Serverless Applications,multiText,AWS Serverless Application Repository
40,Name the AWS service,text,Deliver ultra-low latency applications for 5G devices,multiText,AWS Wavelength
41,Name the AWS service,text,Build a Hybrid Cloud without Custom Hardware,multiText,VMware Cloud on AWS
42,Name the AWS service,text,Cloud-based Contact Center,multiText,Amazon Connect
43,Name the AWS service,text,Personalized User Engagement Across Channels,multiText,Amazon Pinpoint
44,Name the AWS service,text,Email Sending and Receiving,multiText,Amazon Simple Email Service (SES)
45,Name the AWS service,text,Contact center analytics powered by ML,multiText,Contact Lens for Amazon Connect
46,Name the AWS service,text,High Performance Managed Relational Database,multiText,Amazon Aurora
47,Name the AWS service,text,Managed NoSQL Database,multiText,Amazon DynamoDB
48,Name the AWS service,text,Fully managed document database,multiText,Amazon DocumentDB (with MongoDB compatibility)
49,Name the AWS service,text,In-memory Caching System,multiText,Amazon ElastiCache
50,Name the AWS service,text,Managed Cassandra-compatible database,multiText,Amazon Managed Apache Cassandra Service
51,Name the AWS service,text,Fully Managed Graph Database Service,multiText,Amazon Neptune
52,Name the AWS service,text,Fully managed ledger database,multiText,Amazon Quantum Ledger Database (QLDB)
53,Name the AWS service,text,Managed Relational Database Service for MySQL PostgreSQL Oracle SQL Server and MariaDB,multiText,Amazon RDS
54,Name the AWS service,text,Automate on-premises database management,multiText,Amazon RDS on VMware
55,Name the AWS service,text,Fast Simple Cost-effective Data Warehousing,multiText,Amazon Redshift
56,Name the AWS service,text,Fully managed time series database,multiText,Amazon Timestream
57,Name the AWS service,text,Migrate Databases with Minimal Downtime,multiText,AWS Database Migration Service
58,Name the AWS service,text,Production-ready distribution of OpenJDK,multiText,Amazon Corretto
59,Name the AWS service,text,Model cloud infrastructure using code,multiText,AWS Cloud Development Kit (CDK)
60,Name the AWS service,text,Write Run and Debug Code on a Cloud IDE,multiText,AWS Cloud9
61,Name the AWS service,text,Build and Test Code,multiText,AWS CodeBuild
62,Name the AWS service,text,Store Code in Private Git Repositories,multiText,AWS CodeCommit
63,Name the AWS service,text,Automate Code Deployment,multiText,AWS CodeDeploy
64,Name the AWS service,text,Release Software using Continuous Delivery,multiText,AWS CodePipeline
65,Name the AWS service,text,Develop and Deploy AWS Applications,multiText,AWS CodeStar
66,Name the AWS service,text,Unified Tool to Manage AWS Services,multiText,AWS Command Line Interface
67,Name the AWS service,text,Test Android iOS and web apps on real devices in the AWS cloud,multiText,AWS Device Farm
68,Name the AWS service,text,Tools and SDKs for AWS,multiText,AWS Tools and SDKs
69,Name the AWS service,text,Analyze and debug your applications,multiText,AWS X-Ray
70,Name the AWS service,text,Stream Desktop Applications Securely to a Browser,multiText,Amazon AppStream 2.0
71,Name the AWS service,text,Secure enterprise document storage and sharing,multiText,Amazon WorkDocs
72,Name the AWS service,text,Enable mobile access to internal websites,multiText,Amazon WorkLink
73,Name the AWS service,text,Desktop Computing Service,multiText,Amazon WorkSpaces
74,Name the AWS service,text,Simple Fast Cost-effective Dedicated Game Server Hosting,multiText,Amazon GameLift
75,Name the AWS service,text,A Free Cross-platform 3D Game Engine with Full Source Integrated with AWS and Twitch,multiText,Amazon Lumberyard
76,Name the AWS service,text,Connect Devices to the Cloud,multiText,AWS IoT Core
77,Name the AWS service,text,IoT Operating System for Microcontrollers,multiText,Amazon FreeRTOS
78,Name the AWS service,text,Local Compute Messaging and Sync for Devices,multiText,AWS Greengrass
79,Name the AWS service,text,One Click Creation of an AWS Lambda Trigger,multiText,AWS IoT 1-Click
80,Name the AWS service,text,Analytics for IoT Devices,multiText,AWS IoT Analytics
81,Name the AWS service,text,Cloud Programmable Dash Button,multiText,AWS IoT Button
82,Name the AWS service,text,Security Management for IoT Devices,multiText,AWS IoT Device Defender
83,Name the AWS service,text,Onboard Organize and Remotely Manage IoT Devices,multiText,AWS IoT Device Management
84,Name the AWS service,text,IoT event detection and response,multiText,AWS IoT Events
85,Name the AWS service,text,IoT data collector and interpreter,multiText,AWS IoT SiteWise
86,Name the AWS service,text,Easily connect devices and web services,multiText,AWS IoT Things Graph
87,Name the AWS service,text,Curated catalog of AWS-compatible IoT hardware,multiText,AWS Partner Device Catalog
88,Name the AWS service,text,Build Train and Deploy Machine Learning Models at Scale,multiText,Amazon SageMaker
89,Name the AWS service,text,Easily implement human review of ML predictions,multiText,Amazon Augmented AI
90,Name the AWS service,text,Automate code reviews and identify expensive lines of code,multiText,Amazon CodeGuru (Preview)
91,Name the AWS service,text,Discover Insights and Relationships in Text,multiText,Amazon Comprehend
92,Name the AWS service,text,Deep learning inference acceleration,multiText,Amazon Elastic Inference
93,Name the AWS service,text,Increase forecast accuracy using machine learning,multiText,Amazon Forecast
94,Name the AWS service,text,Detect more online fraud faster,multiText,Amazon Fraud Detector (Preview)
95,Name the AWS service,text,Reinvent enterprise search with ML,multiText,Amazon Kendra
96,Name the AWS service,text,Build Voice and Text Chatbots,multiText,Amazon Lex
97,Name the AWS service,text,Build real-time recommendations into your applications,multiText,Amazon Personalize
98,Name the AWS service,text,Turn Text into Lifelike Speech,multiText,Amazon Polly
99,Name the AWS service,text,Analyze Image and Video,multiText,Amazon Rekognition
100,Name the AWS service,text,Build accurate ML training datasets,multiText,Amazon SageMaker Ground Truth
